game_date,game_pk,game_type,status,venue,game_datetime_utc,away_team,home_team,away_team_id,home_team_id,away_probable_pitcher,home_probable_pitcher
2024-07-10,746934,R,Final,Fenway Park,2024-07-10 23:10:00+00:00,Oakland Athletics,Boston Red Sox,133,111,,
2024-07-10,746366,R,Final,Minute Maid Park,2024-07-11 00:10:00+00:00,Miami Marlins,Houston Astros,146,117,,
2024-07-10,745969,R,Final,American Family Field,2024-07-11 00:10:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,134,158,,
2024-07-10,746205,R,Final,Angel Stadium,2024-07-11 01:38:00+00:00,Texas Rangers,Los Angeles Angels,140,108,,
2024-07-10,747179,R,Final,Chase Field,2024-07-11 01:40:00+00:00,Atlanta Braves,Arizona Diamondbacks,144,109,,
2024-07-10,745318,R,Final,Oracle Park,2024-07-11 01:45:00+00:00,Toronto Blue Jays,San Francisco Giants,141,137,,
2024-07-11,746688,R,Final,Great American Ball Park,2024-07-11 17:10:00+00:00,Colorado Rockies,Cincinnati Reds,115,113,,
2024-07-11,746452,R,Final,Comerica Park,2024-07-11 17:10:00+00:00,Cleveland Guardians,Detroit Tigers,114,116,,
2024-07-11,745799,R,Final,Citi Field,2024-07-11 17:10:00+00:00,Washington Nationals,New York Mets,120,121,,
2024-07-11,745967,R,Final,American Family Field,2024-07-11 18:10:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,134,158,,
2024-07-11,745313,R,Final,Oracle Park,2024-07-11 19:45:00+00:00,Toronto Blue Jays,San Francisco Giants,141,137,,
2024-07-11,745558,R,Final,Citizens Bank Park,2024-07-11 22:05:00+00:00,Los Angeles Dodgers,Philadelphia Phillies,119,143,,
2024-07-11,747011,R,Final,Oriole Park at Camden Yards,2024-07-11 22:35:00+00:00,Chicago Cubs,Baltimore Orioles,112,110,,
2024-07-11,745065,R,Final,Tropicana Field,2024-07-11 22:50:00+00:00,New York Yankees,Tampa Bay Rays,147,139,,
2024-07-11,746935,R,Final,Fenway Park,2024-07-11 23:10:00+00:00,Oakland Athletics,Boston Red Sox,133,111,,
2024-07-11,746367,R,Final,Minute Maid Park,2024-07-12 00:10:00+00:00,Miami Marlins,Houston Astros,146,117,,
2024-07-11,746204,R,Final,Angel Stadium,2024-07-12 01:38:00+00:00,Seattle Mariners,Los Angeles Angels,136,108,,
2024-07-11,747178,R,Final,Chase Field,2024-07-12 01:40:00+00:00,Atlanta Braves,Arizona Diamondbacks,144,109,,
2024-07-12,746450,R,Final,Comerica Park,2024-07-12 22:40:00+00:00,Los Angeles Dodgers,Detroit Tigers,119,116,,
2024-07-12,745552,R,Final,Citizens Bank Park,2024-07-12 22:40:00+00:00,Oakland Athletics,Philadelphia Phillies,133,143,,
2024-07-12,745064,R,Final,Tropicana Field,2024-07-12 22:50:00+00:00,Cleveland Guardians,Tampa Bay Rays,114,139,,
2024-07-12,747012,R,Final,Oriole Park at Camden Yards,2024-07-12 23:05:00+00:00,New York Yankees,Baltimore Orioles,147,110,,
2024-07-12,746936,R,Final,Fenway Park,2024-07-12 23:10:00+00:00,Kansas City Royals,Boston Red Sox,118,111,,
2024-07-12,745800,R,Final,Citi Field,2024-07-12 23:10:00+00:00,Colorado Rockies,New York Mets,115,121,,
2024-07-12,746685,R,Final,Great American Ball Park,2024-07-12 23:10:00+00:00,Miami Marlins,Cincinnati Reds,146,113,,
2024-07-12,746371,R,Final,Minute Maid Park,2024-07-13 00:10:00+00:00,Texas Rangers,Houston Astros,140,117,,
2024-07-12,746774,R,Final,Guaranteed Rate Field,2024-07-13 00:10:00+00:00,Pittsburgh Pirates,Chicago White Sox,134,145,,
2024-07-12,745965,R,Final,American Family Field,2024-07-13 00:10:00+00:00,Washington Nationals,Milwaukee Brewers,120,158,,
2024-07-12,745153,R,Final,Busch Stadium,2024-07-13 00:15:00+00:00,Chicago Cubs,St. Louis Cardinals,112,138,,
2024-07-12,746207,R,Final,Angel Stadium,2024-07-13 01:38:00+00:00,Seattle Mariners,Los Angeles Angels,136,108,,
